"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM539","GRADE - SCS","N/A","90176","Director","<5","Policy Profession","London"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM539","Grade - EO","26462","37628","Technical and/or Team Suprvisory","<5","Policy Profession","London"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM358","Grade - AA/AO","N/A","20077","Service Delivery","<5","Policy Profession","West Midlands"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM358","Grade - AA/AO","23175","30755","Technical and/or Team Suprvisory","<5","Policy Profession","West Midlands"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM358","Grade - AA/AO","N/A","21445","Service Delivery","<5","Policy Profession","London"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM358","Grade - AA/AO","29154","32569","Technical and/or Team Suprvisory","<5","Policy Profession","London"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM358","Grade - EO","9244","29870","Technical and/or Team Suprvisory","6.71","Policy Profession","London"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM358","Grade - EO","N/A","23638","Service Delivery","<5","Policy Profession","London"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM358","Grade - EO","25740","25750","Technical and/or Team Suprvisory","<5","Policy Profession","West Midlands"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM358","Grade - EO","N/A","33475","Managerial/Specialist","<5","Policy Profession","West Midlands"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM358","Grade - SEO/HEO","25850","41200","Managerial/Specialist","<5","Policy Profession","West Midlands"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM358","Grade - SEO/HEO","30168","43673","Managerial/Specialist","9","Policy Profession","London"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM358","Grade - 6/7","N/A","48222","Senior Advisory/Managerial","<5","Policy Profession","West Midlands"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM358","Grade - 6/7","54631","58939","Senior Advisory/Managerial","<5","Policy Profession","London"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Grade - AA/Apprentice","16028","17208","Service Delivery","6","Policy Profession","West Midlands"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Grade - AA/AO","N/A","21530","Service Delivery","<5","Policy Profession","West Midlands"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Grade - AA/AO","22954","30237","Technical and/or Team Suprvisory","<5","Policy Profession","West Midlands"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Grade - AA/AO","N/A","14156","Service Delivery","<5","Policy Profession","London"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Grade - AA/AO","22624","27810","Technical and/or Team Suprvisory","5","Policy Profession","London"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Grade - EO","15193","30237","Technical and/or Team Suprvisory","13.11","Policy Profession","West Midlands"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Grade - EO","29417","33478","Managerial/Specialist","<5","Policy Profession","West Midlands"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Grade - EO","23040","31152","Technical and/or Team Suprvisory","7","Policy Profession","London"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Grade - EO","29512","35364","Managerial/Specialist","14","Policy Profession","London"
